Restoran,Yazar,Yazar Yorum Sayısı,Yazar Foto Sayısı,Yerel Rehber,Puan,Tarih,Yorum,İşletme Yanıtı,Yanıt Tarihi,Bu Yorumda Foto,Yorum ID
Cümcük Restoran,HATİCE KÖYTEPE,65,44,Evet,5,3 yıl önce,Ankara da en lezizi makarna ve mantı cümcük de. Harika lezzet on numara personel. İşletme sahibi nin her masa ile ayrı ayrı ilgili olması da ayrı bir güzellik.,"Sayın Hatice Köytepe öncelikle ilgi, alaka ve tabii ki ziyaretiniz için çok teşekkür ederiz. Siz değerli misafirlerimizi layıkıyla ağırlayabiliyorsak ne mutlu bizlere. Her zaman bekleriz. Saygı ve sevgilerimizle 🧿👍🙏 …",3 yıl önce,0,ChdDSUhNMG9nS0VJQ0FnSUQtaUlfVTd3RRAB
Cümcük Restoran,Bahar Gür,27,,Evet,4,3 yıl önce düzenlendi,"Her gidişimden sonra çok  mutlu olarak ayrıldığım, menüdeki her yemeği ayrı güzel olan , kadrosunu muhteşem kadınların oluşturduğu harika restoran. Daha fazla söze gerek var mı? 😉😊💫♥️🧿 …",,,0,ChZDSUhNMG9nS0VJQ0FnSUNlaC1ybUJREAE
Cümcük Restoran,Salem Salem,132,40,Evet,5,3 yıl önce düzenlendi,"Yemekler gerçekten çok lezzetli. Özellikle yaprak sarma ve muzlu keklerine bayıldık.
Dışarıda nispeten küçük bir oturma alanı var, yazın orada oturmak keyifli.
Fiyatlar uygun, belki biraz pahalı ama lezzetli yemekleri göz önüne alındığında değer.",,,0,ChdDSUhNMG9nS0VJQ0FnSUNPODUzdWdBRRAB
Cümcük Restoran,maryam pashazadeh,,,Hayır,3,3 yıl önce,,,,0,ChZDSUhNMG9nS0VJQ0FnSUMtbDlYSFF3EAE
Cümcük Restoran,Halit Emin Alıcılar,10,2,Evet,4,3 yıl önce,,,,0,ChdDSUhNMG9nS0VJQ0FnSUMtX2V6LXB3RRAB
Cümcük Restoran,Havva Çelikkanat,123,366,Evet,3,3 yıl önce,"Arkadaşlarimla Mix mantı tabağını deneyimlemek istemiştik ama 150 tl olduğunu görünce deneyimleyemedik haliyle.Prens mantı  85 tl idi,  klasik mantısı 75 tl idi sanırım, Karidesli  kiremitte olan makarnasi güzeldi. Mix mantı tabağı için daha makul bir fiyat bekliyoruz.",,,0,ChdDSUhNMG9nS0VJQ0FnSUMtMWR1ODh3RRAB
Cümcük Restoran,Abdullah Tutğaç,567,1783,Evet,5,3 yıl önce,Sinop mantısı fena değildi. Temiz bir işletme. Farklı lezzetler de denemek lazım. Turşusu güzeldi. Bil zeytinyağ mezeler var.,,,0,ChdDSUhNMG9nS0VJQ0FnSUMtLWZlcDV3RRAB
Cümcük Restoran,Nilay Ilgaz,,,Hayır,5,3 yıl önce,Sayın Nilay Ilgaz çok teşekkür ederiz. Afiyet olsun. Her zaman bekleriz. Saygı ve sevgilerimizle 🧿🙏👍 …,Sayın Nilay Ilgaz çok teşekkür ederiz. Afiyet olsun. Her zaman bekleriz. Saygı ve sevgilerimizle 🧿🙏👍 …,3 yıl önce,0,ChdDSUhNMG9nS0VJQ0FnSUMtOUpuejFnRRAB
Cümcük Restoran,Rus Kültür ve Enformasyon Merkezi,1,63,Evet,5,3 yıl önce,,,,0,ChZDSUhNMG9nS0VJQ0FnSUMtcE4tS1F3EAE
Cümcük Restoran,ırmak baykal,6,,Hayır,5,3 yıl önce,Muhteşem bir yer,,,0,ChZDSUhNMG9nS0VJQ0FnSUMteE11dWZnEAE
Cümcük Restoran,Yener Gök,126,102,Evet,5,3 yıl önce,"Hayatımda yediğim en lezzetli mantıyı burada deneyimledim. Özellikle Sinop mantısı bir harika. Çalışanların misafirperverliği, işletme sahibinin ilgisi ve yemeklerin lezzeti bir araya gelince yemeğe dair aradığınızın daha da fazlasını bulmuş oluyorsunuz. Fiyatları makul, havadar ve hijyenik bir yer. Kesinlikle tavsiye edilir.","Sayın Yener Gök ilginize ve memnuniyetiniz ile yorumunuza çok teşekkür ederiz. Siz değerli misafirlerimizin huzurlu,güler yüzlü ve temiz bir ortamda yemeklerini yemeleri birincil felsefemizdir.Mutluğunuz bizleri de çok mutlu ediyor. Afiyet olsun. Her zaman bekleriz. Saygı ve sevgilerimizle 🧿🙏👍 …",3 yıl önce,0,ChdDSUhNMG9nS0VJQ0FnSUMtdVAydy1BRRAB
Cümcük Restoran,aylin kayaoğlu,23,11,Evet,5,3 yıl önce,Çok nezih ve temiz bir mekan. İlgileri alakaları son derece nazik bir işletme ikramları içinde ayrıca teşekkür ederiz. Farklı bir lezzet kattı bize gidecek olanlara tavsiye ederim. Azar azar yedik fakat tıka basa doyduk 👍 …,Sayın Aylin Kayaoğlu bizleri onore eden yorum ve görüşleriniz için çok teşekkür ederiz. Siz değerli misafirlerimizi layıkıyla ağırlamak bizim asli görevimizdir. Her zaman bekleriz. Afiyet olsun. Saygı ve sevgilerimizle 🧿👍🙏 …,3 yıl önce,1,ChdDSUhNMG9nS0VJQ0FnSUMteUpLMnJBRRAB
Cümcük Restoran,Seyhan Armagan,5,10,Evet,5,3 yıl önce,,,,0,ChZDSUhNMG9nS0VJQ0FnSURlNzZIRUNREAE
Cümcük Restoran,Yusuf Bahadır,12,6,Hayır,5,3 yıl önce,,,,0,ChdDSUhNMG9nS0VJQ0FnSURlci1TUC1RRRAB
Cümcük Restoran,Snn cyrl,70,53,Evet,5,3 yıl önce,Sayın Snn cyrl çok teşekkür ederiz.Afiyet olsun. Sizlerin memnuniyeti bizim için çok değerli. Her zaman bekleriz. Saygı ve sevgilerimizle 🧿👍🙏 …,Sayın Snn cyrl çok teşekkür ederiz.Afiyet olsun. Sizlerin memnuniyeti bizim için çok değerli. Her zaman bekleriz. Saygı ve sevgilerimizle 🧿👍🙏 …,3 yıl önce,0,ChZDSUhNMG9nS0VJQ0FnSURlcmNqdUNnEAE
Cümcük Restoran,onder Aydıner,5,,Hayır,4,3 yıl önce,,,,0,ChdDSUhNMG9nS0VJQ0FnSURleWVDMXVRRRAB
Cümcük Restoran,Serkan Sd,9,,Hayır,4,3 yıl önce,,,,0,ChdDSUhNMG9nS0VJQ0FnSURlam9qRzZ3RRAB
Cümcük Restoran,Yusuf baran Ertürk,3,,Hayır,5,3 yıl önce,Çok kaliteli temiz bir restoran yediklerimden çok memnun kaldım,,,0,ChdDSUhNMG9nS0VJQ0FnSURlMXJtUjBnRRAB
Cümcük Restoran,2 Deli Kafalar,13,2,Evet,1,3 yıl önce,Çok kötü bı yer yemeklerin yapıldığı yer pislik içinde kesinlikle tavsiye etmiyorum sakın gitmeyin zehirlenirsinzi benden söylemesi sonra gelip yoruma zehirlendim derseniz gülerim. saygılarımla,"2 Deli Kafalar bu mecrada hesap açıp ona buna sebepsiz,anlamsız ve karalama şeklinde yorum yapma hakkını nereden alıyorsunuz bilmiyoruz. Cümcük Restoran’a gelmediğiniz o kadar belli ki,lakin Cümcük ‘te bir mutfak yok.!…… Cümcük Restoran’ın tamamı mutfak.Çünkü açık mutfak bir restoranız !…
8 yıldır Cümcük ‘ün tüm değerli misafirleri mutfağımızı görür ,bizleri bilir ve her isteyen misafirimizi de mutfağımızın içine kadar davet ederiz.
Şimdi siz şu yorumunuzu boşverin,iletişim bilgilerinizi ve gerçek kimlik bilgilerinizi yazın da biz sizi  arayalım ,çözülecek  bir sorununuz varsa çözelim !…
Cümcük Restoran’ı bilenler biliyor da sizin kim olduğunuzu bizler ve onlar da öğrenmek ister belki…
Ayrıca hakaret ve karalama şeklindeki yazınız için de gerekli yerlere bildirimler yapılacaktır!…
Ne yediniz de zehirlendiniz?
Bunu da bizlere bildirmeniz gerekiyor!…
Vereceğiniz yıldız ve gerçek dışı yorumunuzla Cümcük ‘ü bilenleri etkileyeceğiniz zannettmeyiniz!…
Saygılarımızla…",3 yıl önce,0,ChdDSUhNMG9nS0VJQ0FnSURleHF2cjRBRRAB
Cümcük Restoran,Maksym Kirindiasov,110,239,Evet,5,3 yıl önce,,,,0,ChdDSUhNMG9nS0VJQ0FnSURlc3JDbjB3RRAB
Cümcük Restoran,Gürhan ŞİŞMANLAR,28,,Evet,5,3 yıl önce,,,,0,ChZDSUhNMG9nS0VJQ0FnSURlMHItSU9nEAE
Cümcük Restoran,Bilal Yilmazer,13,5,Evet,5,3 yıl önce,Çok ilgililer ve ürünleri çok lezzetli,Sayın Bilal Yilmazer siz değerli misafirlerimizin memnuniyetleri bizleri çok mutlu ediyor. Afiyet olsun. Her zaman bekleriz. Saygı ve sevgilerimizle 🧿👍🙏 …,3 yıl önce,0,ChZDSUhNMG9nS0VJQ0FnSURlM09xZFRnEAE
Cümcük Restoran,K.Aleksandra,10,4,Hayır,5,3 yıl önce,En lezzetli yemekler!!! Çok teşekkürler!!! Kesinlikle tekrar geleceğiz ❤ Şiddetle tavsiye ederim))),,,0,ChZDSUhNMG9nS0VJQ0FnSURlblB2aFJnEAE
Cümcük Restoran,Būşra Gūnbūkū,6,2,Evet,5,3 yıl önce,,,,0,ChdDSUhNMG9nS0VJQ0FnSURlbk82QjF3RRAB
Cümcük Restoran,Özlem Metin,27,11,Evet,5,3 yıl önce,Lezzetli mantı sıcak karşılama👍🏻 …,,,0,ChdDSUhNMG9nS0VJQ0FnSURlclBhSDRnRRAB
Cümcük Restoran,Deniz Gürcan Özkan,45,17,Evet,3,3 yıl önce,Mantısının porsiyonu azdı lezzeti ortalama idi.,,,0,ChZDSUhNMG9nS0VJQ0FnSURlMUxEb1d3EAE
Cümcük Restoran,Ahmet Özkan,,,Evet,5,3 yıl önce,,,,0,ChZDSUhNMG9nS0VJQ0FnSURlMk9tRUt3EAE
Cümcük Restoran,Zekiye yasemin Turgut,13,,Hayır,5,3 yıl önce,"Mezeler ve mantı tabağı harikaydı.Özellikle Sabire Hanımın ilgi ve alakası,pozitif enerjisi takdire şayandı.",,,0,ChZDSUhNMG9nS0VJQ0FnSURleU5LMUN3EAE
Cümcük Restoran,Mahmut Oğuz Kavukcu,55,6,Evet,5,3 yıl önce,"Güler yüzlü hizmet, kaliteli mekan. Biz memnun kaldık, herkese tavsiye ederiz.","Sayın Mahmut Oğuz Kavukcu siz değerli misafirlerimizi hizmet ,güler yüz ve lezzetlerimizle layıkıyla ağarlayabilmek bizleri sizlerden daha mutlu ediyor. Bizleri onore eden yorumlarınız için ayrıca çok teşekkür ederiz. Saygı ve sevgilerimizle 👍🧿🙏 …",3 yıl önce,0,ChdDSUhNMG9nS0VJQ0FnSURleUlTWXRBRRAB
Cümcük Restoran,Emrah Erduran,229,712,Evet,5,3 yıl önce,"Binlerce kadının çalıştığı efsane bir işletme. Halen mezeleri deniyorum, zeytinyağlıları denemek gerek. Mantı hiç nasip olmadı.","Sayın Emrah Erduran ilgi,alaka ve bizleri onore eden yorumlarınız için çok teşekkür ederiz. Saygı ve sevgilerimizle 👍🧿🙏 …",3 yıl önce,3,ChZDSUhNMG9nS0VJQ0FnSURla0ozeWRREAE
Cümcük Restoran,sinan karasoy,115,147,Evet,5,3 yıl önce,Aile işletmesi gibi ister oturup orda yiyin ister kışlık alıp eve götürün,Sayın Sinan Karasoy ilginize ve yorumunuza çok teşekkür ederiz. Afiyet olsun. Her zaman bekleriz. Saygı ve sevgilerimizle 🧿🙏👍 …,3 yıl önce,0,ChZDSUhNMG9nS0VJQ0FnSUNlbjV1QVpBEAE
Cümcük Restoran,Ayhan Mortepe,263,602,Evet,5,3 yıl önce,Ankara’ya uğrama sebebim,"Sayın Ayhan Mortepe öncelikle ziyaretleriniz ve biz Cümcük Ailesini onore eden yorumuz için çok teşekkür ederiz.
Sizin gibi,  ülkemizin aşağı yukarı tamamını ( birkaç ilimiz hariç) ve dünyanın bir çok ülkesini  yeni lezzetler keşfetmek ve bunları takipçileriyle paylaşmak için vakit,nakit ve mesai harcayan yüksek damak tadına sahip bir misafirimizin takdiri bizim için çok değerli.
Afiyet olsun. Her zaman bekleriz. Saygı ve sevgilerimizle 🧿👍🙏",3 yıl önce,0,ChdDSUhNMG9nS0VJQ0FnSUNlczdtdzV3RRAB
Cümcük Restoran,Hazal Göktaş,18,3,Evet,5,3 yıl önce,Sayın Hazal Göktaş çok teşekkür ederiz. Afiyet olsun. Her zaman bekleriz. Saygı ve sevgilerimizle 👍🧿🙏 …,Sayın Hazal Göktaş çok teşekkür ederiz. Afiyet olsun. Her zaman bekleriz. Saygı ve sevgilerimizle 👍🧿🙏 …,3 yıl önce,0,ChdDSUhNMG9nS0VJQ0FnSUNlN1pPc3lBRRAB
Cümcük Restoran,Cavit TEKİN,170,125,Evet,5,3 yıl önce,Süper bir mekan,Sayın Cavit Tekin samimi ve içten bizleri ifade eden yorumunuz için çok teşekkür ederiz. Afiyet olsun. Her zaman bekleriz. Saygı ve sevgilerimizle 👍🧿🙏 …,3 yıl önce,0,ChZDSUhNMG9nS0VJQ0FnSUNlNmF6d1dnEAE
Cümcük Restoran,Şafak Atay,132,281,Evet,4,3 yıl önce düzenlendi,"3,5'tan 4 diyelim. Özellikle şu tabak için çok heyecanlıydım, yoksa evde annemin yaptığı mantı stoklarım var. Yoğurtlari ve İskender sosları, mantının içindeki et harcı lezzetliydi. Maalesef hamurları için aynı şeyi söyleyemicem, çok fazla un tadı vardı, sertti ve sindirmesi zordu. Sinop mantısı kendi çapında lezzetli olsa da Sinop mantısı böyle bir şey değil kıyaslanamaz bile; daha ince hamurlu, daha büyük, daha yumuşak olması gerekir. Cevizi yağda çok beklediği için tadı gitmisti.Çıtır mantıyı yemekte biraz zorlandım, yoğurt bile yeterince nemlenmesine yardımcı olamamış. En çok klasik mantıyı sevdim. Karışık mix 150 TL. Birlik yakinlarindaysam tekrar gidebilirim yoksa özellikle buraya gitmem.",,,1,ChdDSUhNMG9nS0VJQ0FnSUNlbHRyMDBnRRAB
Cümcük Restoran,veysel yılmaz,91,30,Evet,5,3 yıl önce,Sayın Veysel Yılmaz çok teşekkür ederiz. Afiyet olsun. Her zaman bekleriz. Saygı ve sevgilerimizle 👍🧿🙏 …,Sayın Veysel Yılmaz çok teşekkür ederiz. Afiyet olsun. Her zaman bekleriz. Saygı ve sevgilerimizle 👍🧿🙏 …,3 yıl önce,0,ChZDSUhNMG9nS0VJQ0FnSUNlbnI2RlFBEAE
Cümcük Restoran,Eray Doğan,114,96,Evet,5,3 yıl önce,Karışık mantı tabağı harika. Ben en çok klasik kayseri mantılarını beğendim.,,,1,ChZDSUhNMG9nS0VJQ0FnSUNlN3BhVER3EAE
Cümcük Restoran,müddeiumumi n.,10,,Hayır,5,3 yıl önce,"Her bir ürünü ayrı güzel, fiyatları biraz pahalı ama aşırı kaliteli ve lezzetli ürünler satan dükkan. Paket olarak da alabiliyorsunuz. Aynı zamanda 365 avm içinde şubesi var.",,,0,ChZDSUhNMG9nS0VJQ0FnSUNlaXFuUWV3EAE
Cümcük Restoran,Banu G,6,18,Hayır,3,3 yıl önce,,,,0,ChdDSUhNMG9nS0VJQ0FnSUNleUxDTnFRRRAB
Cümcük Restoran,Ceyhun Öztürk,19,1,Evet,5,3 yıl önce,Gayet lezzetli,,,0,ChdDSUhNMG9nS0VJQ0FnSUR1LTdTSXhBRRAB
Cümcük Restoran,Bay Bilgili,270,905,Evet,4,3 yıl önce,Manti grubu cok basarili .zeytin yagli ve mezeler cok basarili. Feticuni normal geldi . Genel olarak basarili bir restoran . İs yeri sahibi cok ilgili.,,,0,ChZDSUhNMG9nS0VJQ0FnSUR1aTV1aVJBEAE
Cümcük Restoran,yıldız Eler,7,,Hayır,5,3 yıl önce,Mantısı ve kremalı tavuklu  fettucini güzeldi.,,,0,ChdDSUhNMG9nS0VJQ0FnSUR1OVpQZTFnRRAB
Cümcük Restoran,Büşra Yaksarac,44,7,Evet,3,3 yıl önce,Temiz ve güleryüzlü bir isletme. Fakat ne yazik ki mantıları beklentimizi hic ama hic karsilamadi🙄 …,,,0,ChZDSUhNMG9nS0VJQ0FnSUR1bXBMRFVnEAE
Cümcük Restoran,Dinç Şanlı,135,293,Evet,5,3 yıl önce,Oldukça lezzetli yaprak sarması üzerine tanımam 👍🏼 …,,,0,ChZDSUhNMG9nS0VJQ0FnSUR1a3AtME5nEAE
Cümcük Restoran,Dilek Ünver,4,,Hayır,1,3 yıl önce,İlk gittiğimde personel tartışıyordu gürültüden  kalkmak zorunda kaldım.ikinci defa gittiğimde ne bir karşılama ne bir ilgi...doymus esnaf,,,0,ChZDSUhNMG9nS0VJQ0FnSUR1a3Y2S1Z3EAE
Cümcük Restoran,Emr Ozyn,154,3,Evet,5,3 yıl önce,Mantılar ın lezzetine kesinlikle laf yok. Yalnızca biraz yüksek fiyat galiba .,,,0,ChZDSUhNMG9nS0VJQ0FnSUR1eU5fbFJnEAE
Cümcük Restoran,Ogeday,1744,17250,Evet,5,3 yıl önce,Mantıda çeşit ne isterseniz var,,,0,ChdDSUhNMG9nS0VJQ0FnSUR1a0x5dDJnRRAB
Cümcük Restoran,Nilüfer Uğur,14,5,Evet,5,3 yıl önce,Ankara'da gelmişken heryerde yiyebilcegimiz kebab yerine farklı bir lezzet arıyorduk. Samimi güzel farklı bir yer ilgili bir restoran sahibi çok keyif aldik mix tabak denedik iyiki gelmisiz dediğimiz bir yer kadın emeği olan güzel mantılar denedik teşekkür ederim,,,0,ChdDSUhNMG9nS0VJQ0FnSUN1dlpyZjZBRRAB
Cümcük Restoran,Orhn _,87,25,Evet,5,3 yıl önce,Lezzetli,,,0,ChdDSUhNMG9nS0VJQ0FnSUN1M1phT2hBRRAB
Cümcük Restoran,yasemın tunçyurek,2,,Hayır,2,3 yıl önce,"Karşilama ve güleryüz sifir,acayip bakislar falan enteresan biryer.Lezzet harika müsteri seçmeseniz tekrar gelirdim şunuda belirteyim paket servis için aradim mevsimden oturu olumlu cevap alamadim ,kirmadim mekaniniza geldim hayal kirikligi yasadim eşref saatiydi belkide herneyse.",,,0,ChZDSUhNMG9nS0VJQ0FnSUN1bGZISFhBEAE
Cümcük Restoran,Ümit Ersan,33,6,Evet,5,3 yıl önce,Sayın Ümit Ersan çok teşekkür ederiz. Afiyet olsun. Her zaman bekleriz. Saygı ve sevgilerimizle 👍🧿🙏 …,Sayın Ümit Ersan çok teşekkür ederiz. Afiyet olsun. Her zaman bekleriz. Saygı ve sevgilerimizle 👍🧿🙏 …,3 yıl önce,0,ChdDSUhNMG9nS0VJQ0FnSUN1NHVMWHpBRRAB
Cümcük Restoran,Nisa Nur Gürhan,25,294,Evet,5,3 yıl önce,Sayın Nisa Nur Gürhan ziyaretiniz ve ilginiz için çok teşekkür ederiz. Afiyet olsun. Her zaman bekleriz. Saygı ve sevgilerimizle 👍🧿🙏 …,Sayın Nisa Nur Gürhan ziyaretiniz ve ilginiz için çok teşekkür ederiz. Afiyet olsun. Her zaman bekleriz. Saygı ve sevgilerimizle 👍🧿🙏 …,3 yıl önce,0,ChZDSUhNMG9nS0VJQ0FnSUN1b3B6UlRnEAE
Cümcük Restoran,Tuğçe Yamanok,9,27,Evet,5,3 yıl önce,Sayın Tuğçe Yamanok çok teşekkür ederiz. Afiyet olsun. Her zaman bekleriz. Saygı ve sevgilerimizle. 👍🧿🙏 …,Sayın Tuğçe Yamanok çok teşekkür ederiz. Afiyet olsun. Her zaman bekleriz. Saygı ve sevgilerimizle. 👍🧿🙏 …,3 yıl önce,0,ChdDSUhNMG9nS0VJQ0FnSUN1eE9tRHRBRRAB
Cümcük Restoran,elif,100,58,Evet,4,3 yıl önce,Sayın Elif Hanım çok teşekkür ederiz. Afiyet olsun. Saygı ve sevgilerimizle..👍🧿🙏 …,Sayın Elif Hanım çok teşekkür ederiz. Afiyet olsun. Saygı ve sevgilerimizle..👍🧿🙏 …,3 yıl önce,0,ChdDSUhNMG9nS0VJQ0FnSUN1Mk1hNm53RRAB
Cümcük Restoran,okan ozuslu,11,3,Evet,5,3 yıl önce,Sayın Okan Ozuslu çok teşekkür ederiz. Afiyet olsun. Her zaman bekleriz. Saygı ve sevgilerimizle 👍🙏🧿 …,Sayın Okan Ozuslu çok teşekkür ederiz. Afiyet olsun. Her zaman bekleriz. Saygı ve sevgilerimizle 👍🙏🧿 …,3 yıl önce,0,ChZDSUhNMG9nS0VJQ0FnSUN1bU92YVBBEAE
Cümcük Restoran,tuğçe yorgun,3,,Hayır,5,3 yıl önce,"Ankara'nın açık ara en iyi Mantıcısı, klasik mantı denedik çok lezzetli, kadın girişimcilerin olduğu herşey çok güzel çok özel, ilgi alaka güleryüz ile evlerinde misafir olduğunuzu hissediyorsunuz",Sayın Tuğçe Yorgun öncelikle bizleri onore eden yorumlarınız için çok teşekkür ederiz. Afiyet olsun. Her zaman bekleriz. Saygı ve sevgilerimizle. 🧿🙏👍 …,3 yıl önce,0,ChdDSUhNMG9nS0VJQ0FnSUN1aU1leDdnRRAB
Cümcük Restoran,Azra Şatıroğlu,8,,Hayır,5,3 yıl önce,,,,0,ChdDSUhNMG9nS0VJQ0FnSURPenNPWW9nRRAB
Cümcük Restoran,İsmail Sefa Nazlım,17,31,Evet,5,3 yıl önce,Sayın İsmail Sefa Nazlım öncelikle ilginize çok teşekkür ederiz. Afiyet olsun. Her zaman bekleriz. Saygı ve sevgilerimizle👍🧿🙏 …,Sayın İsmail Sefa Nazlım öncelikle ilginize çok teşekkür ederiz. Afiyet olsun. Her zaman bekleriz. Saygı ve sevgilerimizle👍🧿🙏 …,3 yıl önce,0,ChZDSUhNMG9nS0VJQ0FnSURPaHFxQ1F3EAE
Cümcük Restoran,Anil Bakkaloglu',,,Hayır,5,4 yıl önce,Sayın Anıl Bakkaloğlu’ çok teşekkür ederiz. Afiyet olsun. Her zaman bekleriz. Saygı ve sevgilerimizle 🧿👍🙏 …,Sayın Anıl Bakkaloğlu’ çok teşekkür ederiz. Afiyet olsun. Her zaman bekleriz. Saygı ve sevgilerimizle 🧿👍🙏 …,3 yıl önce,0,ChdDSUhNMG9nS0VJQ0FnSUNPMzV5TzBRRRAB
Cümcük Restoran,cambiera,14,,Hayır,5,4 yıl önce,mix mantısını tavsiye ediyorum,Sayın cambiera öncelikle ilginize çok teşekkür ederiz. Afiyet olsun. Her zaman bekleriz. Saygı ve sevgilerimizle 🧿👍🙏 …,3 yıl önce,0,ChdDSUhNMG9nS0VJQ0FnSUNPNzRXUGxnRRAB
Cümcük Restoran,Mustafa Vefa Kocaman,22,3,Evet,5,4 yıl önce,Efsane lezzet durağı 😍 …,Sayın Mustafa Vefa Kocaman çok teşekkür ederiz. Afiyet olsun. Her zaman bekleriz. Saygı ve sevgilerimizle 🧿👍🙏 …,3 yıl önce,0,ChdDSUhNMG9nS0VJQ0FnSUNPcjViX2pRRRAB
Cümcük Restoran,Volkan Çelik,7,,Hayır,5,4 yıl önce,"Muhteşem,",Sayın Veysel Doruk Çelik bizleri kısaca tek kelimeyle anlattığınız yorumunuz için çok teşekkür ederiz Her zaman bekleriz. Afiyet olsun. Saygı ve sevgilerimizle 🧿🙏👍 …,3 yıl önce,0,ChZDSUhNMG9nS0VJQ0FnSUNPMjlXa1V3EAE
Cümcük Restoran,EYUP TATAROGLU,4,,Hayır,5,4 yıl önce,Sayın EYUP TATAROGLU çok teşekkür ederiz. Afiyet olsun. Her zaman bekleriz. Saygı ve sevgilerimizle 🧿👍🙏 …,Sayın EYUP TATAROGLU çok teşekkür ederiz. Afiyet olsun. Her zaman bekleriz. Saygı ve sevgilerimizle 🧿👍🙏 …,3 yıl önce,0,ChdDSUhNMG9nS0VJQ0FnSUNPMjVYeDh3RRAB
Cümcük Restoran,Murat Ortoğlu,71,21,Evet,5,4 yıl önce,Sayın Murat Ortoğlu çok teşekkür ederiz. Afiyet olsun. Her zaman bekleriz. Saygı ve sevgilerimizle…🧿🙏👍 …,Sayın Murat Ortoğlu çok teşekkür ederiz. Afiyet olsun. Her zaman bekleriz. Saygı ve sevgilerimizle…🧿🙏👍 …,3 yıl önce,0,ChZDSUhNMG9nS0VJQ0FnSUNPbTU2UEp3EAE
Cümcük Restoran,Dogu Beysanoglu,159,2,Evet,5,4 yıl önce,Mantilar harika,Sayın Dogu Beysanoğlu çok teşekkür ederiz. Afiyet olsun.Her zaman bekleriz. Saygı ve sevgilerimizle 🙏👍🧿 …,3 yıl önce,0,ChdDSUhNMG9nS0VJQ0FnSUNPLWI3cWtnRRAB
Cümcük Restoran,Yasemin Sahin,52,1418,Evet,5,4 yıl önce,"Sipariş vermeye başladığınızda farketmeden sofrayı donatıyorsunuz. Değişik sarma (vişneli, ekşili, etli, vs) ve mantı (klasik, kızarmış, Sinop, vs) çeşitlerinin tamamı kadın emeği. Mevsim tatlarından şanslıysanız enginar dolması ya da ayva tatlısının yapıldığı güne denk gelirsiniz. Enfes.",Sayın Yasemin Şahin sizler gibi yüksek damak tadına sahip misafirlerimizin görüşleri bizim için çok değerli. Çok teşekkür ederiz. Her zaman bekleriz. Afiyet olsun. Saygı ve sevgilerimizle 🧿🙏👍 …,3 yıl önce,0,ChZDSUhNMG9nS0VJQ0FnSUNPenJMbFFnEAE
Cümcük Restoran,Damak Tadı,32,6,Evet,5,4 yıl önce,"ilk ziyaretimdi karşılama, hizmet ve lezzetler 10 numara.. sıcak ortam",Sayın Damak Tadı çok teşekkür ederiz. Felsefemizi hissetmeniz bizi mutlu etti. Her zaman bekleriz. Saygı ve sevgilerimizle.,3 yıl önce,0,ChdDSUhNMG9nS0VJQ0FnSUNPNXFyMDlRRRAB
Cümcük Restoran,Sahver Ozen,196,2,Evet,4,4 yıl önce,Ilk defa gittim bütün manti cesitleri var guzeldi,Sayın Sahver Ozen çok teşekkür ederiz. Afiyet olsun. Her zaman bekleriz. Saygılarımızla…,3 yıl önce,0,ChdDSUhNMG9nS0VJQ0FnSUNPcHY2d2hnRRAB
Cümcük Restoran,IBRAHİM BAL,95,20,Evet,2,4 yıl önce,"Beklentinin çok ama çok altında. Mantı yoğurtlu olur porsiyona 2 küçük kaşık yoğurt koymuşlar. Sonra da bunu savunuyorlar burada herkes böyle yiyor diye.

Mantılari öyle ooooo hadi gidelim şeklinde değil. Gidilsede olur gidilmese de şeklinde bir yer",,,0,ChdDSUhNMG9nS0VJQ0FnSUNPekl2SnhBRRAB
Cümcük Restoran,Koral Yonar,10,,Evet,4,4 yıl önce,Sayın Koral Yonar çok teşekkür ederiz. Afiyet olsun. Saygılarımızla…,Sayın Koral Yonar çok teşekkür ederiz. Afiyet olsun. Saygılarımızla…,3 yıl önce,0,ChdDSUhNMG9nS0VJQ0FnSUNPOE16X2dnRRAB
Cümcük Restoran,Ediz,477,400,Evet,5,4 yıl önce,"Ev yemekleri konusunda bölgedeki en iyilerden. Aile işletmesi, dolayısıyla kolayca  yakınlık kuruyorsunuz, çalışan herkes samimi ve güler yüzlü.",Sayın Ediz samimi görüş  ve yorumlarınız için çok teşekkür ederiz.Sizler gibi yüksek damak tadına sahip misafirlerimizin restoranımızdan mutlu ayrılması bizleri de çok mutlu ediyor. Afiyet olsun. Her zaman bekleriz. Saygı ve sevgilerimizle. 🧿👍🙏 …,4 yıl önce,0,ChdDSUhNMG9nS0VJQ0FnSUQybDdtb3VBRRAB
Cümcük Restoran,Furkan Kazan (ScroogeMcDuck),5,2,Hayır,5,4 yıl önce,Hersey çok güzel olmuş çok beğendim bir daha gideceğim,Sayı Furkan Kazan çok teşekkür ederiz. Sizleri misafir etmek bizleri de çok mutlu ediyor. Afiyet olsun. Her zaman bekleriz. Saygı ve sevgilerimizle 🧿👍🙏 …,4 yıl önce,0,ChdDSUhNMG9nS0VJQ0FnSUQybDU2UTR3RRAB
